Treatment,Number_CDR3,Habs,H
On,4,1.75,0.875
On,5,1.369974075,0.590015719
On,2,0.721928095,0.721928095
On,23,4.337175341,0.958796493
On,4,1.75,0.875
On,18,3.573525663,0.856976003
On,15,3.589275071,0.918703758
On,6,2.419381946,0.935944697
On,27,3.920900797,0.824604325
On,3,1.584962501,1
On,17,1.247548433,0.3052134
On,1,0,0
On,31,3.869134674,0.7809813
On,10,3.077819531,0.926516
On,26,4.513794877,0.960292047
On,6,2.5,0.967132018
On,28,4.586890264,0.954140133
On,6,2.446439345,0.946411928
On,41,3.594513011,0.670924521
On,8,2.842370993,0.947456998
On,3,1.5,0.94639463
On,2,0.721928095,0.721928095
On,3,1.5,0.94639463
On,2,1,1
On,2,0.918295834,0.918295834
On,3,1.5,0.94639463
On,8,2.294519908,0.764839969
On,9,2.918295834,0.920619836
On,2,1,1
On,2,0.811278124,0.811278124
On,1,0,0
On,1,0,0
